source,title,company,location,stipend,duration,mode,internship_type,branch_required,cgpa_required,gender,eligibility_raw,skills,deadline,applicants,apply_link
Internshala,Data Analytics - Internship,Yoliday LLP,Work from Home,"₹ 5,000 - 5,001 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 15th Apr'26 and 20th May'26 3. are available for duration of 3 months 4. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowInternshipPart time, Skill(s) required, Data Analysis, Data Analytics",N/A,N/A,https://internshala.com/internship/detail/work-from-home-data-analytics-internship-at-yoliday-llp1776245646
Internshala,Social Media Marketing - Internship,Myraid,Work from Home,"₹ 2,000 - 2,500 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 15th Apr'26 and 20th May'26 3. are available for duration of 3 months 4. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowInternshipPart time, Skill(s) required, Canva, Content Management",N/A,N/A,https://internshala.com/internship/detail/work-from-home-social-media-marketing-internship-at-myraid1776244141
Internshala,Inside Sales - Internship,Adex Media Hub,Work from Home,"₹ 8,000 - 12,000 /month",4 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 14th Apr'26 and 19th May'26 3. are available for duration of 4 months 4. are from Gwalior only 5. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted todayInternship, Skill(s) required, Client Relationship Management (CRM), Counseling",N/A,N/A,https://internshala.com/internship/detail/inside-sales-internship-in-gwalior-at-adex-media-hub1776164905
Internshala,Operations - Internship,Encamp Tourism Private Limited,Work from Home,"₹ 4,000 - 7,000 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 14th Apr'26 and 19th May'26 3. are available for duration of 3 months 4. are from Guwahati only 5. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted 1 day agoInternship, Skill(s) required, English Proficiency (Spoken), English Proficiency (Written)",N/A,N/A,https://internshala.com/internship/detail/operations-internship-in-guwahati-at-encamp-tourism-private-limited1776154753
Internshala,Graphic Designer and Video Editor - Internship,Globuzz Digital Marketing Solutions,Work from Home,"₹ 10,000 /month",6 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 15th Apr'26 and 20th May'26 3. are available for duration of 6 months 4. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowInternship, Skill(s) required, Adobe Creative Suite, Artificial intelligence",N/A,N/A,https://internshala.com/internship/detail/graphic-designer-and-video-editor-internship-in-pune-at-globuzz-digital-marketing-solutions1776240425
Internshala,Business Development (Sales) - Internship,Webelio Digital Pvt. Ltd,Work from Home,"₹ 15,000 - 27,000 /month",6 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 15th Apr'26 and 20th May'26 3. are available for duration of 6 months 4. are from Gurgaon only 5. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowJob offer upto₹ 4LPApost internship, Skill(s) required, Cold Calling, Email Marketing",N/A,N/A,https://internshala.com/internship/detail/business-development-sales-internship-in-gurgaon-at-webelio-digital-pvt-ltd1776240958
Internshala,UI/UX Design - Internship,Jarvis Technology & Strategy Consulting,Work from Home,"₹ 15,000 - 20,000 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 15th Apr'26 and 20th May'26 3. are available for duration of 3 months 4. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowInternship, Skill(s) required, Adobe After Effects, Adobe Creative Suite",N/A,N/A,https://internshala.com/internship/detail/ui-ux-design-internship-in-delhi-at-jarvis-technology-strategy-consulting1776241039
Internshala,Content and Social Media Marketing - Internship,SOCIOTOPS MARKETING PRIVATE LIMITED,Work from Home,"₹ 7,001 - 9,001 /month",6 Months,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 14th Apr'26 and 19th May'26 3. are available for duration of 6 months 4. are from Jaipur only 5. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted todayInternship, Skill(s) required, Canva, Content Writing",N/A,N/A,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-jaipur-at-sociotops-marketing-private-limited1776172505
Internshala,HR & Project Manager (Founding Team) - Internship,CPARSEC,Work from Home,"₹ 12,000 - 18,000 /month",6 Months,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 15th Apr'26 and 20th May'26 3. are available for duration of 6 months 4. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowJob offer upto₹ 6LPApost internship, Skill(s) required, Human Resources, Project Management",N/A,N/A,https://internshala.com/internship/detail/hr-project-manager-founding-team-internship-in-multiple-locations-at-cparsec1776241483
Internshala,STEM Curriculum Project - Internship,STEMpedia,Work from Home,"₹ 8,000 - 15,000 /month",6 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 14th Apr'26 and 19th May'26 3. are available for duration of 6 months 4. are from Ahmedabad only 5. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted 1 day agoInternship, Skill(s) required, Arduino, Biology",N/A,N/A,https://internshala.com/internship/detail/stem-curriculum-project-internship-in-ahmedabad-at-stempedia1776158472
